taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2768817	Asparagus tenuifolius Lam.	2768817	Asparagus tenuifolius Lam.	17	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Asparagus	9527393	Asparagus tenuifolius	2768817	LC
2874569	Cucumis sativus L.	2874569	Cucumis sativus L.	2554	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Cucumis	2874568	Cucumis sativus	2874569	NE
2930755	Solanum triquetrum Cav.	2930755	Solanum triquetrum Cav.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum triquetrum	2930755	NE
2975139	Vicia narbonensis var. aegyptiaca Asch. & Schweinf.	2975139	Vicia narbonensis var. aegyptiaca Asch. & Schweinf.	28	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia narbonensis	2975132	
2975196	Vicia cappadocica Boiss.	2975196	Vicia cappadocica Boiss.	34	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia cappadocica	2975196	NE
3042514	Brassica gravinae Ten.	3042514	Brassica gravinae Ten.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Brassica	3042506	Brassica gravinae	3042514	NE
3190638	Mangifera indica L.	3190638	Mangifera indica L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Mangifera	3075453	Mangifera indica	3190638	DD
3966471	Medicago halophila (Boiss.) E.Small	3966471	Medicago halophila (Boiss.) E.Small	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago halophila	3966471	NE
4107443	Elymus panormitanus (Parl.) Tzvelev	4107443	Elymus panormitanus (Parl.) Tzvelev	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Elymus	10465436	Elymus panormitanus	4107443	NE
4152690	Avena murphyi Ladiz.	4152690	Avena murphyi Ladiz.	57	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Avena	2705282	Avena murphyi	4152690	EN
5366621	Potentilla aspegrenii Kurtto	5366621	Potentilla aspegrenii Kurtto	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla aspegrenii	5366621	NE
5366623	Potentilla humifusa Willd. ex D.F.K.Schltdl.	5366623	Potentilla humifusa Willd. ex D.F.K.Schltdl.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla humifusa	5366623	NE
9313794	Citrus ×clementina Yu.Tanaka	8077391	Citrus ×aurantium L.	29	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Rutaceae	2396	Citrus	3190155	Citrus aurantium	8077391	NE
2706150	Pennisetum clandestinum Hochst. ex Chiov.	5828201	Cenchrus clandestinus (Hochst. ex Chiov.) Morrone	6	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Cenchrus	2703201	Cenchrus clandestinus	5828201	LC
2856332	Allium scaberrimum M.Serres	2856332	Allium scaberrimum M.Serres	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium scaberrimum	2856332	NE
2975159	Vicia freyniana Bornm.	2975159	Vicia freyniana Bornm.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia freyniana	2975159	NE
3042797	Brassica macrocarpa Guss.	3042797	Brassica macrocarpa Guss.	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Brassica	3042506	Brassica macrocarpa	3042797	CR
4121120	Secale segetale (Zhuk.) Roshev.	4121120	Secale segetale (Zhuk.) Roshev.	102	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Secale	2705965	Secale segetale	4121120	NE
4929964	Medicago shepardii Post ex Boiss.	4929964	Medicago shepardii Post ex Boiss.	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago shepardii	4929964	NE
6712226	Prunus hybr	6712226	Prunus hybr	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus hybr	6712226	NE
7344613	Pistacia terebinthus subsp. terebinthus	3190580	Pistacia terebinthus L.	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Pistacia	3190459	Pistacia terebinthus	3190580	
8033197	Beta vulgaris var. altissima Döll	8971274	Beta vulgaris L.	52	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Beta	3083586	Beta vulgaris	8971274	
8105068	Camellia cuspidata (Kochs) Bean	8105068	Camellia cuspidata (Kochs) Bean	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Theaceae	3189597	Camellia	3189634	Camellia cuspidata	8105068	NE
2763083	Ensete superbum (Roxb.) Cheesman	2763083	Ensete superbum (Roxb.) Cheesman	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Musaceae	4686	Ensete	2763026	Ensete superbum	2763083	NE
2856656	Allium kermesinum Rchb.	2856656	Allium kermesinum Rchb.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium kermesinum	2856656	DD
3799749	Nicotiana linearis Phil.	3799749	Nicotiana linearis Phil.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Nicotiana	2928756	Nicotiana linearis	3799749	NE
5365496	Potentilla aurea L.	5365496	Potentilla aurea L.	19	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla aurea	5365496	NE
5374110	Isatis mardinensis P.H.Davis & H.Misirdali	5374110	Isatis mardinensis P.H.Davis & H.Misirdali	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Isatis	3043620	Isatis mardinensis	5374110	NE
5374617	Barbarea trichopoda Hausskn. & Bornm. ex Bornm.	5374617	Barbarea trichopoda Hausskn. & Bornm. ex Bornm.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Barbarea	8370997	Barbarea trichopoda	5374617	NE
5376835	Lepidium apetalum Willd.	5376835	Lepidium apetalum Willd.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Lepidium	3051713	Lepidium apetalum	5376835	NE
7224008	Cucurbita pepo var. pepo	7317523	Cucurbita pepo subsp. pepo	28	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Cucurbita	2874506	Cucurbita pepo	2874508	
7315826	Ilex integra Thunb.	7315826	Ilex integra Thunb.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Aquifoliales	7226638	Aquifoliaceae	6716	Ilex	10792217	Ilex integra	7315826	NE
8391259	Lathyrus clymenum var. tenuifolius Godr. & Gren.	5356407	Lathyrus clymenum L.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lathyrus	10356062	Lathyrus clymenum	5356407	
2705536	Tripsacum dactyloides (L.) L.	2705536	Tripsacum dactyloides (L.) L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Tripsacum	2705530	Tripsacum dactyloides	2705536	NE
2974989	Vicia ochroleuca Ten.	2974989	Vicia ochroleuca Ten.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia ochroleuca	2974989	NE
