title,wikidataURL,ISSN-L,IPNIpubID,ZooBankPubID,openAlexID,dissolvedYear,dissolved,source
Muelleria,http://www.wikidata.org/entity/Q11693922,0077-1813,1554-2,,S4306520314,,,Wikidata taxonomic subject
The Auk,http://www.wikidata.org/entity/Q2300649,0004-8038,,3F3F951F-B494-44B0-B286-AF9BCB097966,S152904045,,,Wikidata taxonomic subject
Nuytsia,http://www.wikidata.org/entity/Q2005798,0085-4417,1029-2,,S103214341,,,Wikidata taxonomic subject
Kew Bulletin,http://www.wikidata.org/entity/Q2675794,0075-5974,987-2,,S157974409,,,Wikidata taxonomic subject
Kew Bulletin,http://www.wikidata.org/entity/Q2675794,0075-5974,987-2,,S157974409,,,Wikidata taxonomic subject
Willdenowia,http://www.wikidata.org/entity/Q2675951,0511-9618,3087-2,,S107729305,,,Wikidata taxonomic subject
Willdenowia,http://www.wikidata.org/entity/Q2675951,0511-9618,3087-2,,S107729305,,,Wikidata taxonomic subject
ZooKeys,http://www.wikidata.org/entity/Q219980,1313-2970,,91BD42D4-90F1-4B45-9350-EEF175B1727A,S199213172,,,Wikidata taxonomic subject
ZooKeys,http://www.wikidata.org/entity/Q219980,1313-2970,,91BD42D4-90F1-4B45-9350-EEF175B1727A,S199213172,,,Wikidata taxonomic subject
International Journal of Systematic and Evolutionary Microbiology,http://www.wikidata.org/entity/Q3511931,1466-5026,,,S102181007,,,Wikidata taxonomic subject
International Journal of Systematic and Evolutionary Microbiology,http://www.wikidata.org/entity/Q3511931,1466-5026,,,S102181007,,,Wikidata taxonomic subject
Zootaxa,http://www.wikidata.org/entity/Q220370,1175-5326,,78F99150-21C2-4639-B359-F3E2302DF0B7,S171471881,,,Wikidata taxonomic subject
The Auk,http://www.wikidata.org/entity/Q2300649,0004-8038,,3F3F951F-B494-44B0-B286-AF9BCB097966,S152904045,,,Wikidata taxonomic subject
Kew Bulletin,http://www.wikidata.org/entity/Q2675794,0075-5974,987-2,,S157974409,,,Wikidata taxonomic subject
Kew Bulletin,http://www.wikidata.org/entity/Q2675794,0075-5974,987-2,,S157974409,,,Wikidata taxonomic subject
Phytotaxa,http://www.wikidata.org/entity/Q4807825,1179-3155,20011462-1,,S100787194,,,Wikidata taxonomic subject
Muelleria,http://www.wikidata.org/entity/Q11693922,0077-1813,1554-2,,S4306520314,,,Wikidata taxonomic subject
Nuytsia,http://www.wikidata.org/entity/Q2005798,0085-4417,1029-2,,S103214341,,,Wikidata taxonomic subject
Phytotaxa,http://www.wikidata.org/entity/Q4807825,1179-3155,20011462-1,,S100787194,,,Wikidata taxonomic subject
PhytoKeys,http://www.wikidata.org/entity/Q14537320,1314-2003,20011997-1,,S138605562,,,Wikidata taxonomic subject
Zootaxa,http://www.wikidata.org/entity/Q220370,1175-5326,,78F99150-21C2-4639-B359-F3E2302DF0B7,S171471881,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4306495623,,,Wikidata taxonomic subject
Journal of the International Heteropterists' Society,http://www.wikidata.org/entity/Q133886703,,,,,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4210202049,,,Wikidata taxonomic subject
Russian Entomological Journal,http://www.wikidata.org/entity/Q21385717,0132-8069,,37AEA7C0-F362-4385-A111-65F63C6569E7,S2765071491,,,Wikidata taxonomic subject
European Journal of Taxonomy,http://www.wikidata.org/entity/Q21386186,2118-9773,20016745-1,DBF45D51-8BA4-45EC-8160-11CE515B6DF4,S2764351231,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4306495623,,,Wikidata taxonomic subject
Insects of Hawaii,http://www.wikidata.org/entity/Q17022323,,,,,,,Wikidata taxonomic subject
Bulletin of Zoological Nomenclature,http://www.wikidata.org/entity/Q15759939,0007-5167,,82B7004E-449B-4EC9-8079-85A47B4AA541,S2764437286,,,Wikidata taxonomic subject
Bulletin of Zoological Nomenclature,http://www.wikidata.org/entity/Q15759939,0007-5167,,82B7004E-449B-4EC9-8079-85A47B4AA541,S2764437286,,,Wikidata taxonomic subject
Bionomina,http://www.wikidata.org/entity/Q21386155,1179-7649,,3BEBC9E8-5115-4EAD-A64B-4408F440C47A,S4210230724,,,Wikidata taxonomic subject
Bionomina,http://www.wikidata.org/entity/Q21386155,1179-7649,,3BEBC9E8-5115-4EAD-A64B-4408F440C47A,S4210230724,,,Wikidata taxonomic subject
Abc Taxa,http://www.wikidata.org/entity/Q51397419,1784-1283,,,,,,Wikidata taxonomic subject
Sherbornia,http://www.wikidata.org/entity/Q21386365,2373-7697,,916F9AA2-19A5-4DAE-A87D-9A5B2F4CD34E,,,,Wikidata taxonomic subject
Abc Taxa,http://www.wikidata.org/entity/Q51397419,1784-1283,,,,,,Wikidata taxonomic subject
PhytoKeys,http://www.wikidata.org/entity/Q14537320,1314-2003,20011997-1,,S138605562,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4210202049,,,Wikidata taxonomic subject
Bulletin du Muséum national d'histoire naturelle. Botanique,http://www.wikidata.org/entity/Q37927441,0376-4443,12891-2,,,1978,True,Wikidata taxonomic subject
Graellsia,http://www.wikidata.org/entity/Q94579799,0367-5041,,B2A95F6F-35B2-4394-B443-5AEC97C66F80,S62977146,,,Wikidata taxonomic subject
Bulletin of the Society of Systematic Biologists,http://www.wikidata.org/entity/Q123678639,2768-0819,,,,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4306495623,,,Wikidata taxonomic subject
Korean Journal of Plant Taxonomy,http://www.wikidata.org/entity/Q27714217,1225-8318,10815-2,,S4306495623,,,Wikidata taxonomic subject
Graellsia,http://www.wikidata.org/entity/Q94579799,0367-5041,,B2A95F6F-35B2-4394-B443-5AEC97C66F80,S62977146,,,Wikidata taxonomic subject
