title,wikidataURL,ISSN-L,openAlexID,IPNIpubID,ZooBankPubID,dissolvedYear,dissolved,source
Rozprawy i Sprawozdania z Posiedzen Wydzialu Matematyczno-Przyrodniczego Akademii Umiejetnosci,http://www.wikidata.org/entity/Q96774686,2081-1896,,5041-2,,,,IPNI or ZooBank ID
Abhandlungen der Geologischen Bundesanstalt,http://www.wikidata.org/entity/Q13548386,,,6710-2,,,,IPNI or ZooBank ID
"Archivio Botanico per la Sistematica, Fitogeografia e Genetica",http://www.wikidata.org/entity/Q16488670,1721-1670,,4151-2,,,,IPNI or ZooBank ID
Berlinisches Jahrbuch der Pharmacie,http://www.wikidata.org/entity/Q5726395,,,8987-2,,,,IPNI or ZooBank ID
Memorias del Museo de Historia Natural,http://www.wikidata.org/entity/Q21385486,0373-577X,,7616-2,,,,IPNI or ZooBank ID
Abhandlungen der Kaiserlich-königlichen Geologischen Reichanstalt,http://www.wikidata.org/entity/Q13548387,,,6709-2,,,,IPNI or ZooBank ID
Izvestiya Akademii Nauk Turkmenskoi SSR. Seriya biologicheskikh nauk,http://www.wikidata.org/entity/Q123223200,0321-1746,,18853-2,,,,IPNI or ZooBank ID
Botanische Literatur-Blätter,http://www.wikidata.org/entity/Q131169872,3052-0797,,13412-2,,,,IPNI or ZooBank ID
Bishop Museum Occasional Papers,http://www.wikidata.org/entity/Q21385147,0893-1348,,2425-2,B81E1025-E91B-4DD3-ADC3-6E1CE00581BB,,,IPNI or ZooBank ID
Q20013099,http://www.wikidata.org/entity/Q20013099,,,3877-2,,,,IPNI or ZooBank ID
Mainzer naturwissenschaftliches Archiv,http://www.wikidata.org/entity/Q134452308,,,,41DE40C1-0D48-4829-A04E-6FFE54F11070,,,IPNI or ZooBank ID
"Papers from the Department of Biology, University of Queensland Papers",http://www.wikidata.org/entity/Q6060165,,,6942-2,,,,IPNI or ZooBank ID
Contributions from the Biological Laboratory of the Science Society of China. Botanical Series,http://www.wikidata.org/entity/Q13548626,,,4123-2,,,,IPNI or ZooBank ID
Agricultural University Wageningen Papers,http://www.wikidata.org/entity/Q5660016,0169-345X,,1672-2,,,,IPNI or ZooBank ID
Mémoires de l'Herbier Boissier,http://www.wikidata.org/entity/Q6035774,,,1002-2,,,,IPNI or ZooBank ID
"Memorias del Museo de Ciencias Naturales de Barcelona, Serie Botanica",http://www.wikidata.org/entity/Q16942031,,,3680-2,,,,IPNI or ZooBank ID
Palms,http://www.wikidata.org/entity/Q6059087,1523-4495,,18729-2,,,,IPNI or ZooBank ID
Notas del Museo de La Plata,http://www.wikidata.org/entity/Q118978210,0326-7202,,16430-2,,,,IPNI or ZooBank ID
Contributions from the Arnold Arboretum of Harvard University,http://www.wikidata.org/entity/Q16552424,,,7637-2,,,,IPNI or ZooBank ID
Flora of Victoria,http://www.wikidata.org/entity/Q5674417,,,20001915-2,,,,IPNI or ZooBank ID
"University Studies, University of Karachi",http://www.wikidata.org/entity/Q119809602,0453-3003,,424-2,,,,IPNI or ZooBank ID
Q20013580,http://www.wikidata.org/entity/Q20013580,,,4146-2,,,,IPNI or ZooBank ID
International Dendrology Society Year Book,http://www.wikidata.org/entity/Q15407905,0307-322X,,2370-2,,,,IPNI or ZooBank ID
Boletim da Sociedade Portuguesa de Entomologia,http://www.wikidata.org/entity/Q21385109,0870-7227,,,E4FD6CF0-3B60-4A47-BA9B-41CCF91C2707,,,IPNI or ZooBank ID
Anais. Instituto Superior de Agronomia,http://www.wikidata.org/entity/Q17620965,0365-2971,,8757-2,,,,IPNI or ZooBank ID
"International Journal of Plant, Animal and Environmental Sciences",http://www.wikidata.org/entity/Q93483913,,,20013533-2,,,,IPNI or ZooBank ID
World Journal of Applied Sciences and Research,http://www.wikidata.org/entity/Q21386313,2249-4197,,,869099D8-48E1-4635-ACC8-FA1B9CB103EB,,,IPNI or ZooBank ID
Tuhinga: Records of the Museum of New Zealand Te Papa Tongarewa,http://www.wikidata.org/entity/Q15757882,1173-4337,,,8E590D0C-B6E3-47B2-9904-13D19C544964,,,IPNI or ZooBank ID
Genera Plantarum Florae Germanicae,http://www.wikidata.org/entity/Q5876828,,,9905-2,,,,IPNI or ZooBank ID
Geological Survey of New Jersey,http://www.wikidata.org/entity/Q96987162,,,19175-2,,,,IPNI or ZooBank ID
Flora of Pakistan,http://www.wikidata.org/entity/Q16568259,,,2183-2,,,,IPNI or ZooBank ID
Novitates Entomologicae,http://www.wikidata.org/entity/Q3345497,0996-004X,,,3C1DF328-5190-421B-87C2-1CF7F71A675B,,,IPNI or ZooBank ID
British Cactus & Succulent Journal,http://www.wikidata.org/entity/Q5734105,0264-3405,,1916-2,,,,IPNI or ZooBank ID
Bulletin de la Société Botanique du Centre-Ouest,http://www.wikidata.org/entity/Q54359807,0154-9898,,1943-2,,,,IPNI or ZooBank ID
Taxonomania,http://www.wikidata.org/entity/Q116264339,1783-0362,,20000197-1,,,,IPNI or ZooBank ID
Tropical Natural History,http://www.wikidata.org/entity/Q111333284,2586-9892,,20012988-1,,,,IPNI or ZooBank ID
ISSN 2024-5637,http://www.wikidata.org/entity/Q81611920,2024-5637,,17944-2,,,,IPNI or ZooBank ID
Journal of Sichuan University: Natural Science Edition,http://www.wikidata.org/entity/Q13548566,,,12078-2,,,,IPNI or ZooBank ID
