"kingdom","order","count"
"Bacteria","0-14-0-10-38-17",2
"Archaea","0-14-0-20-30-16",5
"Bacteria","0-14-0-20-40-13",2
"Bacteria","02-12-FULL-59-9",2
"Bacteria","1-14-0-20-42-13",2
"Bacteria","1-14-0-20-64-10",7
"Bacteria","1-14-2-50-48-13",1
"Bacteria","16-39-46",4
"Bacteria","2-01-FULL-39-13",1
"Bacteria","2-01-FULL-39-33",8
"Bacteria","2-01-FULL-45-10",8
"Bacteria","2-01-FULL-47-10",1
"Bacteria","2-01-FULL-59-12",2
"Bacteria","2-01-FULL-66-17",2
"Bacteria","2-02-FULL-35-15",6
"Bacteria","2-02-FULL-39-11",13
"Bacteria","2-02-FULL-39-32",6
"Bacteria","2-02-FULL-40-11",5
"Bacteria","2-02-FULL-40-12",37
"Bacteria","2-02-FULL-44-16",7
"Bacteria","2-02-FULL-49-11",1
"Bacteria","2-02-FULL-50-16",4
"Bacteria","2-02-FULL-51-18",9
"Bacteria","2-12-FULL-37-12",1
"Bacteria","2-12-FULL-49-11",9
"Bacteria","2-12-FULL-50-11",5
"Bacteria","2-12-FULL-54-10",5
"Bacteria","20CM-2-55-15",3
"Bacteria","21-64-14",2
"Archaea","40CM-2-53-6",32
"Bacteria","43-37",1
"Bacteria","4484-171",14
"Bacteria","4484-49",1
"Bacteria","4484-93",1
"Bacteria","4572-78",14
"Bacteria","54-19",6
"Bacteria","9FT-COMBO-53-11",2
"Bacteria","AABM5-25-91",9
"Bacteria","Abditibacteriales",3
"Fungi","Abrothallales",44
"Bacteria","Absconditabacterales",19
"Bacteria","AC-67",3
"Animalia","Acanthobdellida",3
"Bacteria","Acanthopleuribacterales",2
"Protozoa","Acanthopodida",2
"Fungi","Acarosporales",379
"Chromista","Acavomonida",1
"Animalia","Accipitriformes",416
"Bacteria","Acetivibrionales",64
"Bacteria","Acetobacterales",268
"Chromista","Achnanthales",1647
"Bacteria","Acholeplasmatales",84
"Bacteria","Acidaminococcales",37
"Bacteria","Acidiferrobacterales",13
"Bacteria","Acidimicrobiales",298
"Bacteria","Acidithiobacillales",12
"Bacteria","Acidobacteriales",113
"Bacteria","Acidoferrales",14
"Bacteria","Acidothermales",1
"Archaea","Aciduliprofundales",10
"Bacteria","Acidulodesulfobacterales",5
"Animalia","Acipenseriformes",116
"Animalia","Acoela",446
"Protozoa","Aconchulinida",86
"Plantae","Acorales",7
"Plantae","Acrochaetiales",120
"Fungi","Acrospermales",69
"Plantae","Acrosymphytales",11
"Animalia","Actiniaria",1219
"Chromista","Actiniscales",3
"Animalia","Actinodontida",193
"Bacteria","Actinomarinales",1
"Bacteria","Actinomycetales",1615
"Chromista","Actinophryida",4
"Animalia","Actinulida",19
"Protozoa","Acytosteliales",80
"Animalia","Adapedonta",412
"Bacteria","Adiutricales",2
"Archaea","Aenigmatarchaeales",13
"Bacteria","Aerophobales",8
"Animalia","Afghanodesmatida",10
"Animalia","Afrosoricida",90
"Chromista","Agamococcidiorida",9
"Fungi","Agaricales",27056
"Fungi","Agaricostilbales",116
"Animalia","Agelasida",391
"Bacteria","Aggregatilineales",70
"Animalia","Agnostida",714
"Animalia","Agoniatitida",500
"Plantae","Ahnfeltiales",6
"Animalia","Akentrogonida",41
"Bacteria","AKS1",1
"Bacteria","AKYH767",80
"Bacteria","AKYH767-A",37
"Chromista","Albuginales",69
"Animalia","Albuliformes",73
"Viruses","Algavirales",34
"Bacteria","Alicyclobacillales",29
"Plantae","Alismatales",6025
"Chromista","Allogromiida",177
"Animalia","Alluroidida",13
"Archaea","Altiarchaeales",2
"Viruses","Amarillovirales",186
"Animalia","Amblypygi",317
"Plantae","Amborellales",1
"Animalia","Amiiformes",95
"Bacteria","Aminicenantales",31
"Bacteria","Ammonifexales",10
"Protozoa","Amoebida",123
"Animalia","Amphidiscosida",202
"Animalia","Amphilepidida",1038
"Animalia","Amphilinidea",10
"Chromista","Amphilothales",2
"Animalia","Amphinomida",265
