OTU_ID	taxonomy	kingdom	phylum	class	order	Confidence
1	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	Animalia	Arthropoda	Insecta	Diptera	1
2	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera	Animalia	Arthropoda	Insecta	Hemiptera	1
3	Root;k__Animalia;p__Arthropoda;c__Maxillopoda;o__Sessilia	Animalia	Arthropoda	Maxillopoda	Sessilia	1
4	Root;k__Animalia;p__Chordata;c__;o__Perciformes	Animalia	Chordata		Perciformes	1
5	Root;k__Animalia;p__Arthropoda;c__Malacostraca;o__Decapoda	Animalia	Arthropoda	Malacostraca	Decapoda	1
6	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera	Animalia	Arthropoda	Insecta	Hymenoptera	1
7	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera	Animalia	Arthropoda	Insecta	Lepidoptera	1
8	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__Neogastropoda	Animalia	Mollusca	Gastropoda	Neogastropoda	1
9	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera	Animalia	Arthropoda	Insecta	Coleoptera	1
10	Root;k__Animalia;p__Chordata;c__Aves;o__Strigiformes	Animalia	Chordata	Aves	Strigiformes	1
11	Root;k__Animalia;p__Chordata;c__Mammalia;o__Artiodactyla	Animalia	Chordata	Mammalia	Artiodactyla	1
12	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__Stylommatophora	Animalia	Mollusca	Gastropoda	Stylommatophora	1
13	Root;k__Animalia;p__Porifera;c__Demospongiae;o__Agelasida	Animalia	Porifera	Demospongiae	Agelasida	1
14	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Orthoptera	Animalia	Arthropoda	Insecta	Orthoptera	1
15	Root;k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes	Animalia	Arthropoda	Arachnida	Trombidiformes	1
16	Root;k__Animalia;p__Chordata;c__;o__Cypriniformes	Animalia	Chordata		Cypriniformes	1
17	Root;k__Animalia;p__Porifera;c__Demospongiae;o__Dendroceratida	Animalia	Porifera	Demospongiae	Dendroceratida	1
18	Root;k__Animalia;p__Brachiopoda;c__;o__	Animalia	Brachiopoda			1
19	Root;k__Animalia;p__Mollusca;c__Bivalvia;o__Carditida	Animalia	Mollusca	Bivalvia	Carditida	1
20	Root;k__Animalia;p__Nemertea;c__Hoplonemertea;o__Monostilifera	Animalia	Nemertea	Hoplonemertea	Monostilifera	1
21	Root;k__Animalia;p__Porifera;c__Calcarea;o__Clathrinida	Animalia	Porifera	Calcarea	Clathrinida	1
22	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Phasmida	Animalia	Arthropoda	Insecta	Phasmida	1
23	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__Littorinimorpha	Animalia	Mollusca	Gastropoda	Littorinimorpha	1
24	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__Trochida	Animalia	Mollusca	Gastropoda	Trochida	1
25	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__	Animalia	Mollusca	Gastropoda		1
26	Root;k__Animalia;p__Mollusca;c__Cephalopoda;o__	Animalia	Mollusca	Cephalopoda		1
27	Root;k__Animalia;p__Chordata;c__Mammalia;o__Soricomorpha	Animalia	Chordata	Mammalia	Soricomorpha	1
28	Root;k__Animalia;p__Mollusca;c__Bivalvia;o__Cardiida	Animalia	Mollusca	Bivalvia	Cardiida	1
29	Root;k__Animalia;p__Platyhelminthes;c__Trematoda;o__Plagiorchiida	Animalia	Platyhelminthes	Trematoda	Plagiorchiida	1
30	Root;k__Animalia;p__Arthropoda;c__Copepoda;o__Harpacticoida	Animalia	Arthropoda	Copepoda	Harpacticoida	1
31	Root;k__Animalia;p__Mollusca;c__Gastropoda;o__Pleurotomariida	Animalia	Mollusca	Gastropoda	Pleurotomariida	1
32	Root;k__Animalia;p__Chordata;c__;o__Siluriformes	Animalia	Chordata		Siluriformes	1
33	Root;k__Animalia;p__Arthropoda;c__Arachnida;o__Opilioacarida	Animalia	Arthropoda	Arachnida	Opilioacarida	1
34	Root;k__Animalia;p__Porifera;c__Hexactinellida;o__Lychniscosida	Animalia	Porifera	Hexactinellida	Lychniscosida	1
35	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Grylloblattodea	Animalia	Arthropoda	Insecta	Grylloblattodea	1
36	Root;k__Animalia;p__Arthropoda;c__Malacostraca;o__Amphipoda	Animalia	Arthropoda	Malacostraca	Amphipoda	1
37	Root;k__Animalia;p__Mollusca;c__Bivalvia;o__Trigoniida	Animalia	Mollusca	Bivalvia	Trigoniida	1
38	Root;k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea	Animalia	Arthropoda	Insecta	Psocodea	1
39	Root;k__Animalia;p__Mollusca;c__Bivalvia;o__Pectinida	Animalia	Mollusca	Bivalvia	Pectinida	1
